title	link	date	author	text	comment_rbloggers
Find type of variables in a data frame	https://www.r-bloggers.com/2008/02/find-type-of-variables-in-a-data-frame/	February 20, 2008	vikasrawal	sapply(a,class) gives type of field (character, numeric, or factor) for each variable in the data frame a. 	 0 Comments
A wraper function to convert coda files into a BUGS object	https://www.r-bloggers.com/2008/02/a-wraper-function-to-convert-coda-files-into-a-bugs-object/	February 11, 2008	Yu-Sung Su		 0 Comments
R graph with two y-axes	https://www.r-bloggers.com/2008/02/r-graph-with-two-y-axes/	February 4, 2008	Rob J Hyndman	I’ve been asked how to do this several times, so I thought it might help to put an example online.  	 0 Comments
Drop unused factor levels	https://www.r-bloggers.com/2008/02/drop-unused-factor-levels/	February 4, 2008	Forester		 0 Comments
R package: codetools	https://www.r-bloggers.com/2008/02/r-package-codetools/	February 4, 2008	Yu-Sung Su		 0 Comments
Paper on the Gillespie Stochastic Simulation Algorithm in press	https://www.r-bloggers.com/2008/02/paper-on-the-gillespie-stochastic-simulation-algorithm-in-press/	February 1, 2008	Mario Pineda-Krch	Just got news that my revisions to the reviewer’s comments on my paper GillespieSSA: Implementing the Gillespie Stochastic Simulation Algorithm in R were accepted. Hence, this paper is not officially in press in the Journal of Statistical Software.   Here’s the abstract: The deterministic dynamics of populations in continuous time are traditionally described using coupled, first-order ordinary differential equations. While this approach is accurate for large systems, it is often inadequate for small systems where key species may be present in small numbers or where key reactions occur at a low rate. The Gillespie stochastic simulation algorithm (SSA) is a procedure for generating time-evolution trajectories of finite populations in continuous time and has become the standard algorithm for these types of stochastic models. This article presents a simple-to-use and flexible framework for implementing the SSA using the high-level statistical computing language R and the package GillespieSSA. Using three ecological models as examples (logistic growth, Rosenzweig-MacArthur predator-prey model, and Kermack-McKendrick SIRS metapopulation model), this paper shows how a deterministic model can be formulated as a finite-population stochastic model within the framework of SSA theory and how it can be implemented in R. Simulations of the stochastic models are performed using four different SSA Monte Carlo methods: one exact method (Gillespie’s Direct method); and three approximate methods (Explicit, Binomial, and Optimized tau-leap methods). Comparison of simulation results confirms that while the time-evolution trajectories obtained from the different SSA methods are indistinguishable, the approximate methods are up to four orders of magnitude faster than the exact methods. A preprint is available on my Publication page. 	 0 Comments
Results of the St. Pat’s 10 Miler and 5K	https://www.r-bloggers.com/2008/03/results-of-the-st-pats-10-miler-and-5k/	March 23, 2008	Chris	Recently I ran the St. Pat’s 10 Miler in Atlantic City, Nj. It was my first official running event ever and I enjoyed it lot. Shortly after the race the official results have been posted on the Internet. The data did not only include the number and times of the participants but also gender and age. Looking at the finisher time distribution it shows that most runners finished at around 90 minutes:  How does age affect the finishing time?  The code to generate the images: 	 0 Comments
Plotting contours	https://www.r-bloggers.com/2008/03/plotting-contours/	March 18, 2008	Forester		 0 Comments
An Example for Just Another Gibbs Sampler (JAGS)	https://www.r-bloggers.com/2008/03/an-example-for-just-another-gibbs-sampler-jags/	March 4, 2008	Yu-Sung Su		 0 Comments
Writing Rd files in Vim	https://www.r-bloggers.com/2008/03/writing-rd-files-in-vim/	March 3, 2008	Michal	"I have made a small “translation” of a portion of “Writing R Extensions” manual about the Rd files to a vimhelp format. You can find it on vim.org, under this link http://www.vim.org/scripts/script.php?script_id=2177. If that does not work
just search for a script “rd” there. The script itself is called “rdhelp.txt”. "	 0 Comments
Ordered logistic model with varying intercepts (random effects)	https://www.r-bloggers.com/2008/03/ordered-logistic-model-with-varying-intercepts-random-effects/	March 2, 2008	Yu-Sung Su		 0 Comments
speed issue in R computing: apply() vs a loop	https://www.r-bloggers.com/2008/04/speed-issue-in-r-computing-apply-vs-a-loop/	April 23, 2008	Yu-Sung Su		 0 Comments
An R Wiki	https://www.r-bloggers.com/2008/04/an-r-wiki/	April 21, 2008	nsaunders	It’s been ages since I visited the R website, so I don’t know how long they’ve had a wiki.  It’s built using DokuWiki, one of my personal favourites. This is a great leap forward for R documentation, which is somewhat notorious for being (a) difficult to find and (b) difficult to understand when you find it.  If you’re a power R user and have a spare moment, please contribute. 	 0 Comments
The CDK/Metabolomics/Chemometrics Unconference results	https://www.r-bloggers.com/2008/04/the-cdkmetabolomicschemometrics-unconference-results/	April 7, 2008	Egon Willighagen		 0 Comments
Heteroscedasticity	https://www.r-bloggers.com/2008/04/heteroscedasticity/	April 6, 2008	vikasrawal	"If a model is estimated using the following code:
lm(y~x1+x2)->p 1. bptest(p) does the Breuch Pagan test to formally check presence of heteroscedasticity. To use bptest, you will have to call lmtest library. 2. If the test is positive (low p value), you should see if any transformation of the dependent variable helps you eliminate heteroscedasticity. Also check if the right hand side of the model is okay. 3. If 2 does not work, you can use the white’s heteroscedasticity-corrected covariance matrices to make inference. Package car has a function hccm that gives you the heteroscedasticity-corrected covariance matrix (there is a similar function in package sandwich also). coeftest(p,vcov=hccm(p)) will give you the results of the tests using this matrix. Use these results instead of summary(p). library(lmtest)
library(car)
bptest(p)
coeftest(p,vcov=hccm(p))
 Tags: GNU-R  "	 0 Comments
The disappearing mouse pointer…	https://www.r-bloggers.com/2008/05/the-disappearing-mouse-pointer/	May 31, 2008	[email protected]		 0 Comments
S3 vs S4, efficiency issues	https://www.r-bloggers.com/2008/05/s3-vs-s4-efficiency-issues/	May 23, 2008	Michal	While developing some new simulation code with S4 system I stumbled upon some big difficulties in terms of computational efficiency. That lead me to diging into archives of Rhelp and Rdevel looking for clues. I found some interesting threads that address almost exactly the same problems that I do. Read for yourself here and here, including the follow-ups by John Chambers and others. It is almost two years since I started to use S4 extensively for almost anything I develop in R. The transparency of the code and the ease of maintenance is so much greater in S4 than in S3. Not mentioning multiple inheritance, validity checks etc. Things seem to have improved since 2003 as this example, based on one of the posts mentioned above gave back then: So at least 3 times slower in S4 case. Now, on my P4 3.2Ghz, with R 2.7.0 gave  which is comparable. Nevertheless, I tried code profiling on my simulation and the output revealed that the majority of the CPU time was spent on method dispatch etc. so the difference might be still substantial. Right now my code works. Perhaps at some point I’ll port some portion to S3 and compare the results… 	 0 Comments
R2jags: A Package for Running jags from R	https://www.r-bloggers.com/2008/05/r2jags-a-package-for-running-jags-from-r/	May 21, 2008	Yu-Sung Su		 0 Comments
JAGS 1.0.2 is released	https://www.r-bloggers.com/2008/05/jags-1-0-2-is-released/	May 9, 2008	Martyn	JAGS 1.0.2 is now out. This is a patched release for the stable version, so there are no major changes in library functionality.   The major changes are: 	 0 Comments
Multiple Assignments or the Idiosyncrasies of R and SAS	https://www.r-bloggers.com/2008/05/multiple-assignments-or-the-idiosyncrasies-of-r-and-sas/	May 8, 2008	fernandohrosa	"Working on top of someone else’s code at work a couple of weeks ago I stumbled upon a piece of SAS code that went like this: Being raised in the land of open-source and having programmed in R since I was in college, that struck me at first as an implicit cast error, as check was previously declared integer. Or a misguided attempt to create an indicator variable. What surprised me even more was that not only there was no cast error as well as the code ran and gave a sensible result in the context of the program I was editing. If you still did not spot the weirdness of the statement above, try running the exact same piece of code in R (parenthesis added on purpose to return the result of the assignment): Now the explanation: due to the way assignments and comparison operators are defined across both languages, the same code in R will result in a Multiple Assignment, erasing the previous value of check and writing a character string over it, the same with Name, which will also be set to character. In SAS, where the = operator does assignments as well as comparisons (though one could argue that you could use the ‘eq’ mnemonic instead) the same expression evaluates if the CHAR variable Name is equal to the constant ‘Netter’, and the result of this logical expression (0 or 1) is then attributed to the check (NUMERIC) variable. Venables, W.N, Ripley, B. D. (2000) S Programming.
Slaughter, S.J., Delwiche, L. D. (2004) Little Sas Book.   "	 0 Comments
Error capture	https://www.r-bloggers.com/2008/05/error-capture/	May 6, 2008	Forester		 0 Comments
How to make SVN work on R-Forge and your local driver?	https://www.r-bloggers.com/2008/05/how-to-make-svn-work-on-r-forge-and-your-local-driver/	May 2, 2008	Yu-Sung Su		 0 Comments
Paper on GillespieSSA now published	https://www.r-bloggers.com/2008/05/paper-on-gillespiessa-now-published/	May 2, 2008	Mario Pineda-Krch	My paper on the GillespieSSA package has now been published in the latest volume of  Journal of Statistical Software. Check it out. 	 0 Comments
GGobi in Wikipedia	https://www.r-bloggers.com/2008/06/ggobi-in-wikipedia/	June 27, 2008	Di Cook	" GGobi now has an entry in  Wikipedia. Feel free to edit it!

 "	 0 Comments
Hack-at-it 2008	https://www.r-bloggers.com/2008/06/hack-at-it-2008/	June 27, 2008	Di Cook	The 2008 Hack-at-it was held June 22-23, just before Data Vis VI, in Bremen Germany. The main topics for the meeting were:  	 0 Comments
maps of Poland in R	https://www.r-bloggers.com/2008/06/maps-of-poland-in-r/	June 23, 2008	Michal	Bogdan Taranta (website in Polish) is developing a set of functions for drawing administrative maps of Poland. I wrote similar functionality for myself already some time ago, but only for voivodships, i.e. top-level administrative units, and also in a rather low resolution. Bogdan’s contribution seems to contain all levels, at high resolution, and including the regions’ capital cities and towns! I look forward to testing that! 	 0 Comments
Smart programming saves computing times	https://www.r-bloggers.com/2008/06/smart-programming-saves-computing-times/	June 21, 2008	Yu-Sung Su		 0 Comments
One R tip a day	https://www.r-bloggers.com/2008/06/one-r-tip-a-day/	June 21, 2008	Michal	I just encountered this website http://onertipaday.blogspot.com/: One R tip per day. Very nice collection of R tips. 	 0 Comments
Speed up R! Make R Run Faster!	https://www.r-bloggers.com/2008/06/speed-up-r-make-r-run-faster/	June 16, 2008	Yu-Sung Su		 0 Comments
Paper describing the weaver package published in Computational Statistics	https://www.r-bloggers.com/2008/06/paper-describing-the-weaver-package-published-in-computational-statistics/	June 14, 2008	seth	"It seems like a lifetime ago that I developed the weaver package for caching code chunks in Sweave documents.  The paper that I presented at the DSC 2007 has finally been published in Computational Statistics.  The title is Caching Code Chunks in Dynamic Documents: The weaver package.  Here’s the abstract: Authoring dynamic documents can become tedious for authors when a document contains one or more time consuming code chunks and each edit requires reprocessing all of the document. We introduce the weaver package that allows computationally expensive code chunks to be cached in order to speed up the edit/process/review cycle for dynamic documents authored using the Sweave framework.
 
And here a link to an unofficial pdf and the weaver package.
 Technorati Tags: Bioconductor, R  "	 0 Comments
Unmessing my pdfs.	https://www.r-bloggers.com/2008/06/unmessing-my-pdfs/	June 1, 2008	[email protected]		 0 Comments
R books	https://www.r-bloggers.com/2008/07/r-books/	July 30, 2008	Rob J Hyndman	 Amazon.com Widgets 	 0 Comments
How to Recover the Missing X(1) for the USL Scalability Model	https://www.r-bloggers.com/2008/07/how-to-recover-the-missing-x1-for-the-usl-scalability-model/	July 29, 2008	Neil Gunther		 0 Comments
download option price data from Yahoo	https://www.r-bloggers.com/2008/07/download-option-price-data-from-yahoo/	July 29, 2008	Quantitative Finance Collector		 0 Comments
Quantile Regression	https://www.r-bloggers.com/2008/07/quantile-regression/	July 29, 2008	Quantitative Finance Collector		 0 Comments
What is faster, Winbugs or Openbugs?	https://www.r-bloggers.com/2008/07/what-is-faster-winbugs-or-openbugs/	July 14, 2008	Andrew Gelman		 0 Comments
Guerrilla Data Analysis Class – Seats Still Available	https://www.r-bloggers.com/2008/07/guerrilla-data-analysis-class-seats-still-available/	July 14, 2008	Neil Gunther		 0 Comments
Get your R on	https://www.r-bloggers.com/2008/07/get-your-r-on/	July 14, 2008	dan	"useR! CONFERENCE, AUGUST 12-14 2008, DORTMUND GERMANY  
 Impressive statistical computing types like Andrew Gelman, Gary King, and others will be presenting at this year’s useR! conference. Decision Science News might just have to hop over and check it out. The program looks great. Those interested in learning R might be interested in our Decision Science News R tutorials one and two. About the Conference useR! 2008, the R user conference, takes place at the Fakultät Statistik, Technische Universität Dortmund, Germany from 2008-08-12 to 2008-08-14. Pre-conference tutorials will take place on August 11.
The conference is organized by the Fakultät Statistik, Technische Universität Dortmund and the Austrian Association for Statistical Computing (AASC). It is funded by the R Foundation for Statistical Computing. Following the successful useR! 2004, useR! 2006, and useR! 2007 conferences, the conference is focused on 1. R as the “lingua franca” of data analysis and statistical computing,
2. providing a platform for R users to discuss and exchange ideas how R can be used to do statistical computations, data analysis, visualization and exciting applications in various fields,
3. giving an overview of the new features of the rapidly evolving R project. As for the predecessor conference, the program consists of two parts: 1. invited lectures discussing new R developments and exciting applications of R,
2. user-contributed presentations reflecting the wide range of fields in which R is used to analyze data. A major goal of the useR! conference is to bring users from various fields together and provide a platform for discussion and exchange of ideas: both in the formal framework of presentations as well as in the informal part of the conference in Dortmund’s famous beer pubs and restaurants. Prior to the conference, on 2008-08-11, there are tutorials offered at the conference site. Each tutorial has a length of 3 hours and takes place either in the morning or afternoon. "	 0 Comments
UseR!2008 aftermath	https://www.r-bloggers.com/2008/08/user2008-aftermath/	August 30, 2008	Michal	Earlier in August I was on the R user conference which this year took place in Dortmund. It was a quite an exciting event gathering around 500 people from around the globe and featuring 170 presentations and talks. Topics varied from new developments in the R system, newly implemented statistical methods as well as plethora of very interesting, and often visually nice, applications. You can find the list of abstracts and also slides for majority of the talks on the conference’s website.  I left the conference, I’m sure similarly to others, with a wealthy bag of new R “tricks”. The next UseR is planned to take place next summer in Rennes (France). The website is already there. Among the available slides are the slides from my talk which was derived from my recent paper on coordination in dynamic social networks in heterogeneous groups. This talk focused on a computer simulation I performed for the paper. You can find the slides here. Additionally here (QuickTime, 37Mb) is a movie based on the simulation I describe there. More on the paper itself soon. 	 0 Comments
R Design Flaws #1 and #2:  A Solution to Both?	https://www.r-bloggers.com/2008/08/r-design-flaws-1-and-2-a-solution-to-both/	August 25, 2008	Radford Neal	I’ve previously posted about two design flaws in R. The first post was about how R produces reversed sequences from a:b when a>b, with bad consequences in “for” statements (and elsewhere).  The second post was about how R by default drops dimensions in expressions like M[i:j,] when i:j is a sequence only one long (ie, when i equals j). In both posts, I suggested ways of extending R to try to solve these problems.   I now think there is a better way, however, which solves both problems with one simple extension to R.  This extension would also make R programs run faster and use less memory. Recall the problems, and the solutions I proposed previously… To stop sequences from reversing, we need a new operator to use rather than 1:n, which suffers from the reversal problem when n is zero (which can’t be changed for compatibility reasons).  I suggested 1:>:n.  To stop dimenions from being dropped, I suggested using semicolons rather than commas to separate subscripts. My new suggestion is that in the most common case where the indexing vector is a sequence, we could use the same new operator introduced to solve the reversing problem — ie, we write M[1:>:n,] to get the first n rows, and define it so that the result isn’t converted to a vector when n is one. Now, this may seem like it won’t work.  If 1:>:n returns a vector, then when n is one, it’s a vector of length one, which has to (by default) lead to the dimension being dropped if ordinary subscripting by scalars is to work (since scalars in R are really vectors of length one). The solution is for 1:>:n to not return a vector, but instead return a new data type that just records its two operands.  This new data type — perhaps it could be called an indexing pair — would have to be recognized by “for” statements and by the subscripting operator.  A dimension indexed by such an indexing pair would never be dropped.  One could add an operator :: for the ascending indexing pair operator (but it unfortunately has no obviously mnemonic descending counterpart). One disadvantage of this solution is that it doesn’t address the dropped dimension problem in the general case where the vector index may not be a sequence.  But indexing by an ascending sequence is by far the most common case, so having to write drop=FALSE for the others may be OK.  (However, perhaps knowledge of the drop=FALSE option would be less common if it is needed less often.) Similary, this solution doesn’t address the problem of reversing sequences outside the context of for loops and subscripting, but those are the most common uses. One extra advantage of introducing indexing pairs is that they will take up a trivial amount of storage.  In contrast, if you use 1:1000000 to iterate a million times in a for loop, R will allocate 4 Megabyes of storage to hold this sequence.  Producing this sequence also takes time, of course.  It would be possible for R to avoid this cost when using 1:1000000 in a for loop, by treating this combination specially, but it doesn’t (in version 2.4.1 at least): Notice how the memory usage goes up by 3.9 Megabytes during the for loop. Another extra advantage of introducing :>: (or ..) is that the precedence of this operator could be made lower than that of any other operator (with no loss, since an indexing pair wouldn’t be a valid operand for any other operator).   Expressions like 1:>:n-1 would then do what the programmer meant (unlike 1:n-1). So, does anyone see any flaws in this solution? 	 0 Comments
More stats sites	https://www.r-bloggers.com/2008/08/more-stats-sites/	August 20, 2008	John Johnson		 0 Comments
Visualize Copulas	https://www.r-bloggers.com/2008/08/visualize-copulas/	August 20, 2008	Quantitative Finance Collector		 0 Comments
Design Flaws in R #2 — Dropped Dimensions	https://www.r-bloggers.com/2008/08/design-flaws-in-r-2-%e2%80%94-dropped%c2%a0dimensions/	August 19, 2008	Radford Neal	"In a comment on my first post on design flaws in the R language, Longhai remarked that he has encountered problems as a result of R’s default behaviour of dropping a dimension of a matrix when you select only one row/column from that dimension.   This was indeed the design flaw that I was going to get to next!  I think it also points to what is perhaps a deeper design flaw. I’ll give a toy example of the problem, which shows up regularly in real (but more complicated) contexts.  Consider the following function, whose arguments are a matrix X and a vector s of column indexes, and which returns a vector containing the  Euclidean norm of each row of X, looking only at columns in s: Here’s an example of its use: Perhaps it would be interesting to see how the norms get smaller as we drop leading dimensions: Oops…  When the loops gets to where k has the value 4, the subset k:4 contains just one dimension.  When R comes to evaluating X[,s], it doesn’t return a matrix with one column, but rather a vector.  The apply function doesn’t work on vectors, so we get an error message rather than the answer. There’s a fix.  The “["" operator takes a ""drop""argument, which defaults to TRUE, giving the behaviour above, but which can be explicitly set to FALSE to disable conversion from a matrix to a vector in these circumstances.  If we modify the function as follows: We get the right answers: There are two problems with this fix.  One is that in some programs, one needs to put drop=FALSE in numerous places, making the code rather hard to read.  The more serious problem, and what makes this a real design flaw, is that writing code without drop=FALSE is so much easier that it's often left out even when it is needed.  Indeed, since the errors typically occur only for extreme cases, it's easy for the programmer to not realize there's a problem. (As an aside, this is another context where the reversing sequences problem arises — if n is 0, subset.norms2(M,1:n) should produce all zeros, but doesn't, not because of a bug in subset.norms2 but because 1:0 doesn't produce the empty sequence.) Can we solve the dimenion dropping problem by just changing the default for drop from TRUE to FALSE?  Of course not, since this would break too many existing programs.  But even if backward compatibility weren't a problem, this wouldn't be a good solution, since the times when we want drop to be TRUE are even more numerous than when we want it to be FALSE. Look at the following, for instance: If drop defaults to FALSE, ordinary subscripting with single indexes for both dimensions will give a 1x1 matrix!  Now, R will treat matrices as vectors (and scalars) as needed in many contexts, but propagating a dim attribute (what marks something as a matrix) all over the place will sooner or later cause problems. What can be done at this point?  I'm not sure.  The best idea I can come up with is to let subscripts be separated by semicolons as well as commas, with use of a semicolon signaling that drop will be FALSE.  In other words, M[i;j] would be equivalent to M[i,j,drop=FALSE], but much more concise.  People could start using the semicolon whenever they're not trying to extract single elements, without breaking old programs. The root cause of the dropped dimension problem seems to be that R does not have scalars.  Instead, what looks like a scalar is actually a vector of length one.  To R, there is no difference between M[2,3] and M[2:2,3:3].  So there's no way for the first of these to drop dimensions and the second to retain them. It's probably hopeless to try to change now, but I think it would have been better for scalars to be treated as vectors or converted to vectors as necessary, without pretending that they're always vectors.  Not having real scalars may seem like a unification or simplification, but it just creates problems.  These start with the first thing a new user sees on trying R out, which is likely to be something like this: Good.  R knows how to add 2 and 2.  But what's the ""[1]"" doing there? "	 0 Comments
High-performance computing in R at useR! 2008	https://www.r-bloggers.com/2008/08/high-performance-computing-in-r-at-user-2008/	August 12, 2008	Mario Pineda-Krch	The useR! 2008 meeting is about to commence. Although I am not able to go this year I will be keeping a close eye on the talks and slides that (I assume) will be posted.  Last years useR! meeting (which I attended) was a great experience and considering the list of participants for this years meeting, it is bound to be a very interesting meeting. Dirk Eddelbuettel has already posted the slides to his talk entitled “Introduction to High-Performance R” on his web site. Clearly, anyone using R on, say, computer clusters would find this highly relevant.  On a side note, it would be interesting to have some idea of how commonly R is used on computer clusters. I have been using R on our in-house cluster for a few years now, and although it may sound a bit counterintuitive to run a high-level interpreted language such as R in a high-performance computing environment such as a cluster (most people would use a low-level compiled language like C for example), using R has the big advantage of allowing very fast prototyping. In other words, although the R code runs slower on the cluster than native C code would do it takes much less time to code it. Of course, for certain classes of models there is no other option that using C (or a similar low-level language), but if you can get away with R, a cluster allows you to run your serial code (or parallelized R code) in parallel with potentially huge time savings.  This is from the “Mario’s Entangled Bank” blog ( http://pineda-krch.com ) of Mario Pineda-Krch, a theoretical biologist at the University of California, Davis. 	 0 Comments
Updated version of GGobi: 2.1.8	https://www.r-bloggers.com/2008/08/updated-version-of-ggobi-2-1-8/	August 12, 2008	Hadley Wickham		 0 Comments
Process Simulation in R	https://www.r-bloggers.com/2008/08/process-simulation-in-r/	August 12, 2008	Quantitative Finance Collector		 0 Comments
R-code for Vasicek estimation	https://www.r-bloggers.com/2008/08/r-code-for-vasicek-estimation/	August 8, 2008	Quantitative Finance Collector		 0 Comments
Link C with R	https://www.r-bloggers.com/2008/08/link-c-with-r/	August 7, 2008	Yu-Sung Su		 0 Comments
