title	link	date	author	text	comment_rbloggers
IBrokers Featured on Quantitative Trading	https://www.r-bloggers.com/2009/01/ibrokers-featured-on-quantitative-trading/	January 17, 2009	Joshua Ulrich	"
 "	 0 Comments
Versions of Sweave.sh	https://www.r-bloggers.com/2009/01/versions-of-sweave-sh/	January 16, 2009	Gregor Gorjanc		 0 Comments
Use of include and input in Sweave documents	https://www.r-bloggers.com/2009/01/use-of-include-and-input-in-sweave-documents/	January 16, 2009	Gregor Gorjanc		 0 Comments
Creating R Packages: A Tutorial	https://www.r-bloggers.com/2009/01/creating-r-packages-a-tutorial/	January 16, 2009	Gregor Gorjanc		 0 Comments
littler 0.1.2	https://www.r-bloggers.com/2009/01/littler-0-1-2/	January 14, 2009	Thinking inside the box	"
This version adds two new command-line switches:
 

As usual, our code in our
svn archive, on my r page, and in the
local directory here. A fresh package
is in Debian’s incoming queue, and  Jeff’s
littler page at Vanderbilt should reflect the new release soon too.



 "	 0 Comments
Analyzing Nike+ using R	https://www.r-bloggers.com/2009/01/analyzing-nike-using-r/	January 14, 2009	[email protected]		 0 Comments
Error Bars in R (& other R stuff)	https://www.r-bloggers.com/2009/01/error-bars-in-r-other-r-stuff/	January 14, 2009	Paul Gribble		 0 Comments
R resources for psychologists	https://www.r-bloggers.com/2009/01/r-resources-for-psychologists/	January 12, 2009	Thom Baguley		 0 Comments
R gets some -E-S-P-E-C-T	https://www.r-bloggers.com/2009/01/r-gets-some-e-s-p-e-c-t/	January 12, 2009	dan	NEW YORK TIMES STORY ON THE APPEAL OF R  (click to view movie) It is no secret that Decision Science News is crazy about the R language for statistical computing. Find out why R is so great in this New York Times article. Then start to teach yourself R with our short series of video tutorials. Addendum: Check out the hordes of R supporters in this comments of this Freakonomics blog post, correcting an assumption by Ayers that happens to be 180 degrees in the wrong direction. Animation credit: Friend of Decision Science News Yihui Xie. 	 0 Comments
TextWrangler and R	https://www.r-bloggers.com/2009/01/textwrangler-and-r/	January 10, 2009	[email protected]		 0 Comments
Rcpp 0.6.3	https://www.r-bloggers.com/2009/01/rcpp-0-6-3/	January 9, 2009	Thinking inside the box	" 
This version adds a fix to the OS X installation (thanks to Simon Urbanek),
adds some ‘view-only’ classes for R vectors, matrices and string vectors
(kindly suggested/provided by David Reiss) as well two shorter helper
functions to derive compilation and linker flags for packages using Rcpp.

 "	 0 Comments
Review of R in NYT and GDAT	https://www.r-bloggers.com/2009/01/review-of-r-in-nyt-and-gdat/	January 8, 2009	Neil Gunther		 0 Comments
R in the New York Times (updated)	https://www.r-bloggers.com/2009/01/r-in-the-new-york-times-updated/	January 8, 2009	Paul Gribble		 0 Comments
R-Sessions 30: Visualizing missing values	https://www.r-bloggers.com/2009/01/r-sessions-30-visualizing-missing-values/	January 8, 2009	Rense Nieuwenhuis		 0 Comments
Google Summer of Code 2009	https://www.r-bloggers.com/2009/01/google-summer-of-code-2009/	January 7, 2009	Thinking inside the box		 0 Comments
R featured in New York Times article	https://www.r-bloggers.com/2009/01/r-featured-in-new-york-times-article/	January 7, 2009	Thinking inside the box	"
That’s silly on so many levels. A concise and rather appropriate follow-up came in early from
Frank Harrell,
a long-time S and R advocate:
 
Achim already added this (and two more posts
from the aforementioned threads) to the 
fortunes package that collects such choice quotes.

 
R in Finance (the topic of
our upcoming conference)
gets mentioned as well. Now, as editor of the
Finance task view, I find that second half of
 "	 0 Comments
Forecasting Presidential Elections	https://www.r-bloggers.com/2009/01/forecasting-presidential-elections/	January 7, 2009	John Myles White	Because of Andrew Gelman’s strong, repeated recommendations, I’ve been reading “Forecasting Presidential Elections” by Steven J. Rosenstone for the last two days. It’s quite a remarkable book and complex enough that I’m sure I’ll return to it many times after I’ve finished it. I was particularly intrigued by a table in the first chapter noting the performance of the Gallup poll over the years. The very first Gallup polls were conducted well in advance of the elections, and it seems that Gallup thought that this had been a substantial source of error in his predictions. A review of the data in the aforementioned table, though, makes clear that there is essentially no meaningful relationship between the number of days in advance of the election when the poll was begun and the accuracy of that poll. If one assumes that the Gallup polls were accurate measures of the state of the public’s opinion on the dates when they were conducted, the data suggests that there are years when the public’s electoral decision is decided well in advance of the election and there are other years when the public’s decision is decided almost immediately before the election. To make all of this clear, I graphed the data describing the accuracy of all of the Gallup electoral polls from 1936 to 1980 as a function of how far ahead of the election the poll was conducted. As you can see, there’s virtually no pattern: the light blue line in the chart is the least squares line and the gray line is simply a horizontal line plotted at 0. The least squares line reflects a statistically insignificant correlation of 0.20. Another point that struck me while reading Rosenstone’s book was his discussion of the non-response error of polls. Non-response error is normally explained as the errors in telephone polls caused by those who don’t pick up their phones, those who refuse to be surveyed and those who simply don’t own phones. The first two problems always make sense to me, but I always find myself wondering about the third: how many Americans actually vote in presidential elections who don’t own phones? I’d love to have an answer to that question if anyone has relevant data. 	 0 Comments
New York Times on R	https://www.r-bloggers.com/2009/01/new-york-times-on-r/	January 7, 2009	Gregor Gorjanc		 0 Comments
Combining R and LaTeX with Sweave	https://www.r-bloggers.com/2009/01/combining-r-and-latex-with-sweave/	January 6, 2009	:)-k		 0 Comments
Multiseat setup via Userful	https://www.r-bloggers.com/2009/01/multiseat-setup-via-userful/	January 3, 2009	Thinking inside the box	"
Shortly after Christmas, that computer suffered a catastrophic disk failure (and as an aside, I hate LVM when that
happens…).  So I reinstalled, this time using the Ubuntu rather Kubuntu variant.  This should allow use of
Userful Multiplier
— a commercial multiseat solution with 
free two-seat licenses.
The base package even comes via the Ubuntu repos.

 
I still had a couple of minor issues. One was possibly related to the Radeon card (as in: don’t drive one
monitor in dvi mode and one in analog mode but rather use both in analog mode via a dvi/analog dongle) so the
live cdrom offered by Userful just went into a perpetual ‘reconfigure, reboot, reconfigure, reboot, …’ loop.
Another hitch was that their license manager no longer wanted to use the license key I had requested in
November when I tried in vain to use Userful with KDE. And of course I wouldn’t a new key as the home ip
address hadn’t changed…  Now, with a newly requested key from another IP address, things appear to work at
last using the default Gnome setup — and the kids are back in proper ‘parallel’ use of their workstation.

 
All in all, Userful Multiplier is a nice and useful product especially as long as stock XFree does them the
favour of no longer competing in the basic two-seat case.



 "	 0 Comments
RWinEdt and Windows Vista/Window 7	https://www.r-bloggers.com/2009/01/rwinedt-and-windows-vistawindow-7/	January 1, 2009	Yu-Sung Su		 0 Comments
R/Finance conference in Chicago in April: Call for Papers	https://www.r-bloggers.com/2009/01/rfinance-conference-in-chicago-in-april-call-for-papers/	January 1, 2009	Thinking inside the box	"
 
      The Finance Department of the University of Illinois at Chicago (UIC),
      the International Center for Futures and Derivatives at UIC, and
      members of the R finance community are pleased to announce
       
      R/Finance 2009: Applied Finance with R
       
      on April 24 and 25, 2009, in Chicago, IL, USA
       
      Confirmed keynote speakers include:
       
      Presenters are strongly encouraged to provide working R code to accompany
      the presentation/paper.  Datasets need not be made public.
       
      Please send submissions to [email protected]
      The submission deadline is January 31st, 2009.
      Submissions will be evaluated and submitters notified via email
      on a rolling basis.
       
      Additional details about the conference will be announced as available.
       
      For the program committee:
       "	 0 Comments
Plotting PDQ Output with R	https://www.r-bloggers.com/2009/02/plotting-pdq-output-with-r/	February 27, 2009	Neil Gunther		 0 Comments
R in The Windy City	https://www.r-bloggers.com/2009/02/r-in-the-windy-city/	February 27, 2009	JD Long	"In honor of me moving to Chicago, the powers who abide have decided to hold the first annual “R/Finance conference for applied finance using R” conference in Chicago this year. The dates are April 24-25, 2009. R/Finance 2009: Applied Finance with R To those who made the decision on location, I’m pleased but slightly embarrassed that you let my relocation decision have such a profound impact on your venue choice. And to the three readers that feedburner tells me regularly read this blog (hi Mom), if you are attending this conference please let me know and I’ll buy you a beer or three. -JD 
 "	 0 Comments
Data Analysis Workflow… Part 1 of Infinity	https://www.r-bloggers.com/2009/02/data-analysis-workflow%e2%80%a6-part-1-of-infinity/	February 26, 2009	JD Long	One of the many things that I sit around pondering when I should be doing productive things is the idea of analytical workflow. I have only worked with one analytical guru who I felt really gave thought and structure to workflow and its impact on analyist productivity. When I talk about workflow I mean the whole process from the time the analytical guy thinks, “Hey, I need to understand the velocity of new purchases between different types of sales campaigns.” until he writes down his findings in a presentation or even just a notebook. In the middle I assume this guy extracts some data from a warehouse or live system, does some work on said data, tests some theories, does more stuff, goes and gets coffee, comes back and plays some flash games, goes home and does it again the next day. Today I was reading over at Data Evolution about a presentation on how Google and Facebook use R. The following was a summary of what Bo Cowgill of Google said about his workflow: The typical workflow that Bo thus described for using R was: (i) pulling data with some external tool, (ii) loading it into R, (iii) performing analysis and modeling within R, (iv) implementing a resulting model in Python or C++ for a production environment. I found this interesting as I have been masticating on the idea of learning Python for some time. I have run into situations where R was slow, but generally I have solved those through rethinking my algorithm. I’m not really a good programmer in R (or any other language for that matter), but I do want/need/like the statistical functions and ease of plotting in R. If I do learn Python I’ll certainly use it to call R… but maybe I should just stick to R. This has nothing to do with workflow, but the most thought provoking insights in the article above came from Itamar Rosenn at Facebook: Itamar’s team used recursive partitioning (via the rpart package) to infer that just two data points are significantly predictive of whether a user remains on Facebook: (i) having more than one session as a new user, and (ii) entering basic profile information. … [they also] found that activity at three months was predicted by variables related to three classes of behavior: (i) how often a user was reached out to by others, (ii) frequency of third party application use, and (iii) what Itamar termed “receptiveness” — related to how forthcoming a user was on the site. So Facebook really wants new users to put more info into FB, use it more, and play with third party apps. I guess that logic is why LinkedIn is always telling me I am only 90% complete on my profile and I would be 95% if I would just, yada yada yada… The more info I put into their walled garden, the more I will play there. And the more ads I will see. Makes sense to me. I guess I follow the same model when I try to get my clients to use my services more and more… I want to be sticky too. But not in a bad way. 	 0 Comments
Review of ‘Applied Econometrics in R’ in JSS	https://www.r-bloggers.com/2009/02/review-of-applied-econometrics-in-r-in-jss/	February 25, 2009	Thinking inside the box		 0 Comments
Absolutely great resource	https://www.r-bloggers.com/2009/02/absolutely-great-resource/	February 25, 2009	:)-k		 0 Comments
R/Finance conference in Chicago in April: Registration now open	https://www.r-bloggers.com/2009/02/rfinance-conference-in-chicago-in-april-registration-now-open/	February 23, 2009	Thinking inside the box	"
See you in Chicago in April!

 "	 0 Comments
Sorry, you said you want a stats revolution?	https://www.r-bloggers.com/2009/02/sorry-you-said-you-want-a-stats-revolution/	February 23, 2009	dan	ALL ABOUT REVOLUTION COMPUTING’S R DISTRIBUTION  Decision Science News was intrigued by a company called REvolution Computing that got some attention of late for spinning their own mix of the R language for statistical computing and giving it away for free. So DSN asked to interview them to see what it’s all about Decision Science News: So who are you guys and what is your scientific background? REvolution: Well, at this point our team has grown and we have about 30 employees with diverse backgrounds, from bioinformatics to finance to core statistics and software engineering.  However when we got started with REvolution, we were a group that had tremendous experience with high performance computing and building production software.  Our first application with R was something called ParallelR , which enables users of R to seamlessly benefit from optimized performance by automatically running on multiple cores, servers, and clusters (we even have a cloud-based deployment).  Our team today is a combination of employees and an extended community, from R community participants, to package developers, to researchers and related consultants. Decision Science News: how did you get started working with R professionally? REvolution: Traditionally our customers came to us for parallel computing solutions based in languages like C, Fortran, or Java.  More and more we started to see pull from our customers toward scripting languages, and R in particular.  Some of our pharma partners particularly were compelled by the proposition of optimizing the performance of R, and many of our first references are related to those applications (gene expression, classification, etc. [case study]) Decision Science News: What’s so great about your R compared to the regular download? REvolution: Well, we’re not competing with the “regular” download – we actively collaborate with the core team, and utilize the codebase.  What we have done is on several fronts.  First, we have added capability and functionality related to optimization and high performance.  Second, we are adding specific support for the 64-bit Windows platforms (and other more obscure OS distributions).  Third, we are actively working on an IDE, large data handling, and other interesting capabilities (stay tuned!). In addition to these aspects, we have packaged REvolution R into a commercially supported distribution around which we also provide training and consulting services.  It’s a fully supported product in the same spirit as, say, RedHat Linux. Decision Science News: Is there any risk that getting ‘locked in’ to your distribution of R? What if your distribution goes away, will our code still run on vanilla R? REvolution: We prefer to say “mandatory customer loyalty” than lock-in.  (KIDDING!)  Of course, “open source” is a big part of “commercial open source,” and users of REvolution R can run their codebase on vanilla R. 	 0 Comments
PDQ-R Lives!	https://www.r-bloggers.com/2009/02/pdq-r-lives/	February 22, 2009	Neil Gunther		 0 Comments
R graphics: margins are way to large	https://www.r-bloggers.com/2009/02/r-graphics-margins-are-way-to-large/	February 22, 2009	Gregor Gorjanc		 0 Comments
Illinois long-term selection experiment for oil and protein in corn	https://www.r-bloggers.com/2009/02/illinois-long-term-selection-experiment-for-oil-and-protein-in-corn/	February 22, 2009	Gregor Gorjanc		 0 Comments
How Facebook and Google use R	https://www.r-bloggers.com/2009/02/how-facebook-and-google-use-r/	February 21, 2009	i82much	"How Facebook and Google use R
 Interesting read.  rpart comes in handy again. "	 0 Comments
Registration for R/Finance 2009 is Open!	https://www.r-bloggers.com/2009/02/registration-for-rfinance-2009-is-open/	February 20, 2009	Joshua Ulrich	"
 "	 0 Comments
People who love scatter plots & connecting dots	https://www.r-bloggers.com/2009/02/people-who-love-scatter-plots-connecting-dots/	February 20, 2009	mike	"
We hosted the first Dataviz Salon SF on Tuesday night, with lightning talks by boredom cop  Shane Booth, dataviz wiz  Lee Byron , computational journalist Brad Stenger, data wrangler  Pete Skomoroch , and any/all data enthusiast  Brendan O’Connor . I was going to blog all about it — but Tom Carden of Stamen Design already has a great write-up. … Dataspora invited a few people to a Dataviz Salon yesterday evening. Mike and I went along and huddled in a brick-built basement in SoMa to listen to the following: . "	 0 Comments
R: Good practice – adding footnotes to graphics	https://www.r-bloggers.com/2009/02/r-good-practice-%e2%80%93-adding-footnotes-to-graphics/	February 17, 2009	markheckmann	In some statistical programs there is the option available to attach a footnote to the graphical output that is created. This footnote may contain the name of the script or the file that produced the graphic, the author’s name and the date of creation. In SAS for example there is a footnote command to achieve this. Ever since I realized that this makes life a lot easier, I wrote a simple three-lines function in R which I use at the end of the construction of any graphic. I suppose, that this is what my professors meant with “good practice”. The nice thing about implementing this in the grid graphics system is that you can produce multiple graphics [e.g. by par(mfrow=c(2, 2))] and still the footnote will be positioned correctly.  Here an example of a footnote added to the graphical output. Correlation matrix with footnote Cheers, Mark 	 0 Comments
Pearson vs. Spearman Correlation Coefficients	https://www.r-bloggers.com/2009/02/pearson-vs-spearman-correlation-coefficients/	February 17, 2009	John Myles White	One of the misuses of statistical terminology that annoys me most is the use of the word “correlation” to describe any variable that increases as another variable increases. This monotonic trend seems worth looking for, but it plainly is not what most people discover when they use standard correlation coefficients. This is because the Pearson product moment correlation coefficient, which is usually the only correlation coefficient students learn to calculate, is strongly biased towards linear trends: those in which a variable y is a noisy linear function of a variable x. Only the Spearman correlation coefficient, which is usually not taught to students, actually detects a general monotonic trend. You can see this for yourself easily by seeing what the correlation coefficient is between x and  progressively higher-degree polynomials in x. If the Pearson correlation coefficient actually detected monotonic trends, it wouldn’t plunge to zero as the degree of the polynomial in x increases. This is precisely what the Spearman correlation coefficient does. I hope that we can reconcile our intuitive thinking and our statistical practice by ending the self-contradiction in which the word “correlation” is used in discourse to describe the behavior of an ideal Spearman correlation coefficient, while in practice correlations are computed using Pearson’s formula. 	 0 Comments
TTR_0.2 on CRAN	https://www.r-bloggers.com/2009/02/ttr_0-2-on-cran/	February 15, 2009	Joshua Ulrich	"
 "	 0 Comments
Single Letter Frequencies in English	https://www.r-bloggers.com/2009/02/single-letter-frequencies-in-english/	February 15, 2009	John Myles White	Every time that I read a paper that discusses the frequencies of single letters in English, I feel like I should sit down and calculate them for myself from a sample of English text. Today, I finally did. Here are the probabilities and negative log probabilities of the characters in English over the corpus of Shakespeare’s plays: And, for those who care, here’s the code to generate the data from the plays, which I downloaded from Project Gutenberg: 	 0 Comments
R in SAS	https://www.r-bloggers.com/2009/02/r-in-sas/	February 15, 2009	Gregor Gorjanc		 0 Comments
R-Sessions 32: Forward.lmer: Basic stepwise function for mixed effects in R	https://www.r-bloggers.com/2009/02/r-sessions-32-forward-lmer-basic-stepwise-function-for-mixed-effects-in-r/	February 13, 2009	Rense Nieuwenhuis		 0 Comments
New project: RInside	https://www.r-bloggers.com/2009/02/new-project-rinside/	February 12, 2009	Thinking inside the box	"
RInside 
makes it easy to embed R into your own
C++ application by hiding the nitty gritty of initializing an R interpreter
behind a simple abstraction. More information is at a (currently pretty simple)
RInside page,
and you may want to look at the related 
Rcpp and possibly
littler
projects. The former is helpful for data exchange, and the latter provided my
first real use of R embedding which in some ways also lead to 
RInside.

 "	 0 Comments
Fitting Legendre (orthogonal) polynomials in R	https://www.r-bloggers.com/2009/02/fitting-legendre-orthogonal-polynomials-in-r/	February 10, 2009	Gregor Gorjanc		 0 Comments
Positioning charts with fig and fin	https://www.r-bloggers.com/2009/02/positioning-charts-with-fig-and-fin/	February 9, 2009	bryan	"R offers several ways to spatially orient multiple graphs in a single graphing space.  The layout() function and mfrow/mfcol parameter settings are adequate solutions for many tasks and allow the graphing space to be broken up into tabular or matrix-based arrangements.  For more fine grained manipulation, the fig and fin parameter settings are available.  This article illustrates the capabilities and use of fig and fin.

First we’ll create some simulation data to work with:  read more "	 0 Comments
Princeton Graduate Student Housing	https://www.r-bloggers.com/2009/02/princeton-graduate-student-housing/	February 8, 2009	John Myles White	For any Princeton graduate students who are interested, here’s the success rate for graduate students applying for school housing. These charts were built using the data from the 2008-2009 Room Draw Statistics pamphlet provided by the Division of Housing here at Princeton. 	 0 Comments
Our new R package: R2jags	https://www.r-bloggers.com/2009/02/our-new-r-package-r2jags/	February 8, 2009	Yu-Sung Su		 0 Comments
Baby Got Stats!	https://www.r-bloggers.com/2009/02/baby-got-stats/	February 8, 2009	jebyrnes	"I was completely tickled last year with the oh so amusing Statz Rappers.  It kept me and my nerdy stats friends laughing for days.  Rapping.  Stats.  The Internet. Good times. But little did I know that rapping about statistics was really just hitting its stride on youtube.  This is Why We Plot began my trip down the rabbit hole.  Quite a nice effort.  I followed this with that Stats Rap – not bad, and oh so mellow.  Also I love the equations. But the pièce de résistance is Baby Got Stats from Dorry Serev in the biostats department  at JHU.  Oh. Dear. Lord.  I laughed.  I wept. I even put some of the lyrics into my .sig file.  Enjoy.
 (note, mildly nsfw?  maybe?) There are a ton more – just follow the related links.  It’s kind of amazing.  And if anyone gets a yen to start doing some multivariate SEM or Bayesian raps, I want to know! "	 0 Comments
ave	https://www.r-bloggers.com/2009/02/ave/	February 8, 2009	vikasrawal	I discovered a new, very useful, R function yesterday: ave. This is what it does: “Subsets of ‘x[]‘ are averaged, where each subset consist of those observations with the same factor levels.”  But interestingly, you can use any function other than average. The output of that function is set against each observation. I wanted to, for example, stick sub-group ranks to each observation. I can think of several situations where this would be of great value! V.  	 0 Comments
